pt_ll_3110,Κύζικος  (Kuzikos ),511218
pt_ll_3112,Πάριον  (Parion ),658566
pt_ll_3114,Λάμψακος  (Lampsakos ),501570
pt_ll_5399,Ἄβυδος (Abudos),501325
pt_ll_3116,Δάρδανον  (Dardanon ),501393
pt_ll_3117,Σίγειον ἄκρον  (Sigeion akron ),550877
pt_ll_3118,Ἀλεξάνδρεια Τρωάς  (Alexandreia Trōas ),550434
pt_ll_3119,Λεκτὸν ἄκρον  (Lekton akron ),550691
pt_ll_3120,Ἆσσον  (Asson ),550463
pt_ll_5402,Ἰάργανον (Iarganon),X
pt_ll_3121,Παλαισκῆψις  (Palaiskēpsis ),550800
pt_ll_3122,Ἄντανδρος  (Antandros ),550433
pt_ll_3123,Ἀδραμύττιον  (Adramuttion ),550403
pt_ll_3124,Ποροσελήνη  (Poroselēnē ),580083,(name comes up as "Poros?")
pt_ll_5403,Καινὴ ἄκρα  (Kainē akra ),X
pt_ll_3126,Πιτάνη (Pitanē),550833
pt_ll_3127,Ἐλαία  (Elaia ),550523
pt_ll_3128,Μυρίνα  (Murina ),550756
pt_ll_3129,Ὕδρα ἄκρα  (Hudra akra ),550582
pt_ll_3130,Κύμη  (Kumē ),550506
pt_ll_3131,Φώκαια  (Phōkaia ),X
pt_ll_3134,Σμύρνα  (Smurna ),550771
pt_ll_3135,Κλαζομεναί  (Klazomenai ),550650
pt_ll_3137,Ἐρυθραί  (Eruthrai ),550535
pt_ll_3138,Τέως  (Teōs ),550913
pt_ll_3139,Λέβεδος  (Lebedos ),599754
pt_ll_3140,Κολοφών  (Kolophōn ),599577
pt_ll_5406,Ἔφεσος (Ephesos),599612
pt_ll_3146,Πύῤῥα  (Purrha ),X
pt_ll_5407,Ἡράκλεια πρὸς Λάτμῳ  (Hērakleia pros Latmō ),X
pt_ll_3147,Μίλητος  (Milētos ),589932,sp- Milatos
pt_ll_3148,Ἰασσός  (Iassos ),631211,unlocated
pt_ll_3149,Βαργυλία  (Bargulia ),599550,sp- Bargylia
pt_ll_3150,Μύνδος  (Mundos ),599811,sp- Myndos
pt_ll_3151,Σκοπιὰ ἄκρα  (Skopia akra ),599941,sp- Skopias Pr.
pt_ll_3152,Ἁλικαρνασσός  (Halikarnassos ),599636
pt_ll_3153,Κέραμος  (Keramos ),599707
pt_ll_3154,Κνίδος πόλις καὶ ἄκρον  (Knidos polis kai akron ),707539,sp- Knidos
pt_ll_3155,Ὄνου γνάθος ἄκρα  ( Onou gnathos akra ),599838,sp- Onougnathos Pr.
pt_ll_5742,Λώρυμα  (Lōruma ),599774,sp- Loryma
pt_ll_3156,Κρήσσω λιμήν  (Krēssō limēn ),599730,sp- Kressa
pt_ll_3157,Φοίνιξ χωρίον  (Phoinix khōrion ),599883,sp- Phoinix
pt_ll_3158,Φοῦσκα  (Phouska ),X
pt_ll_3160,Καῦνος  (Kaunos ),638796,sp- Caunus
pt_ll_3171,Σκῆψις (Skēpsis),550890,sp- Skepsis
pt_ll_5744,Ἱερὰ Γέρμη  (Hiera Germē ),X
pt_ll_3172,Ἴλιον  (Ilion ),550595,sp- Ilium Troy
pt_ll_3173,Λάγουτα  (Lagouta ),X
pt_ll_5117,Τραϊανόπολις  (Traianopolis ),648772
pt_ll_3174,Ἄλυδδα  (Aludda ),614593,unlocated
pt_ll_5739,Πρεπενισσός (Prepenissos),590012,sp- Prepesinthos
pt_ll_3175,Πέργαμος  (Pergamos ),550812
pt_ll_5410,Περπέρη ἢ Περμέρη (Perperē ē Permerē),550814,sp- Perperene
pt_ll_3176,Μοστηνοί  (Mostēnoi ),550752
pt_ll_3177,Ἱεροκαισάρεια  (Hierokaisareia ),550578
pt_ll_3178,Νάκρασα  (Nakrasa ),X
pt_ll_3179,Θυάτειρα μητρόπολις  (Thuateira mētropolis ),550924,sp- Thyateira
pt_ll_5411,Μαγνησία πρὸς Σιπύλῳ ( Magnēsia pros Sipulō),550706,"Magnesia syplum"
pt_ll_3180,Ἰουλιόγορδος  (Iouliogordos ),991385,Ancient Greek Province, Lydia
pt_ll_3181,Αἰγάρα  (Aigara ),550417,
pt_ll_3182,Ὕπαιπα  (Hupaipa ),550585,"Hypaipa"
pt_ll_3183,Σάρδεις  (Sardeis ),550867,
pt_ll_3184,Φιλαδέλφεια  (Philadelpheia ),550822,
pt_ll_5412,Διὸς ἱερὸν  (Dios hieron ),550515,
pt_ll_3185,Μητρόπολις  (Mētropolis ),550741,
pt_ll_3186,Τρίπολις  (Tripolis ),857360,
