PtolemyID	Label	PleiadesID	NOTES
pt_ll_5411	Μαγνησία πρὸς Σιπύλῳ ( Magnēsia pros Sipulō)	550706	"Magnesia syplum"
pt_ll_3180	Ἰουλιόγορδος  (Iouliogordos )	991385	Ancient Greek Province, Lydia
pt_ll_3181	Αἰγάρα  (Aigara )	550417	
pt_ll_3182	Ὕπαιπα  (Hupaipa )	550585	"Hypaipa"
pt_ll_3183	Σάρδεις  (Sardeis )	550867	
pt_ll_3184	Φιλαδέλφεια  (Philadelpheia )	550822	
pt_ll_5412	Διὸς ἱερὸν  (Dios hieron )	550515	
pt_ll_3185	Μητρόπολις  (Mētropolis )	550741	
pt_ll_3186	Τρίπολις  (Tripolis )	857360	
pt_ll_5413	Λαοδίκεια ἐπὶ Λύκῳ  (Laodikeia epi Lukō )	619197	
pt_ll_5414	Ἀντιόχεια πρὸς Μαιάνδρῳ  ( Antiokheia pros Maiandrō )	X	
pt_ll_3187	Ἰτώανα  (Itōana )	X	No official location, "Itoana"
pt_ll_3188	Τραπεζόπολις  (Trapezopolis )	639149	
pt_ll_3189	Νύσσα  (Nussa )	619222	"Nyssa"
pt_ll_3190	Ἀφροδισιάς  (Aphrodisias )	638753	This is closest Aphrodisias to location, but still a bit off
pt_ll_5415	Τράλλεις ( Tralleis)	614866	
pt_ll_5416	Μαγνησία ἡ πρὸς Μαιάνδρῳ ( Magnēsia hē pros Maiandrō)	599778	Check this one along with the other Maiandro
pt_ll_5417	Ἀπολλωνία πρὸς Ἀλβανῷ ( Apollōnia pros Albanō)	638757	Albanos = Salbakes?
pt_ll_5418	Ἡράκλεια πρὸς Ἀλβανῷ (Hērakleia pros Albanō)	638857	Both in same area of the map
pt_ll_3191	Πριήνη  (Priēnē )	599905	
pt_ll_3192	Ἅρπασα  (Harpasa )	599637	
pt_ll_3193	Ὀρθωσία  (Orthōsia )	599839	
pt_ll_3194	Νεάπολις  (Neapolis )	599823	
pt_ll_3195	Βάργασα  (Bargasa )	599548	
pt_ll_3196	Ἀμυζών  (Amuzōn )	599489	Real spelling amyzon
pt_ll_3197	Ἀλάβανδα  (Alabanda )	599479	
pt_ll_3198	Στρατονίκη (Stratonikē)	599947	
pt_ll_5745	Ἄλινδα  (Alinda )	599480	
pt_ll_3199	Ἀδησσός  (Adēssos )	X	"Odessos"
