Identifier 	Site 	Pleiades
pt_ll_3200	Mulassa - Mylasa	599810
pt_ll_3201	Hudissa - Hydissos	599653
pt_ll_3202	Idumos - Idyma	599666
pt_ll_3203	ThÄ“ra - Tharsa, Tarsa, T(h)arsa	658617
pt_ll_3204	Pustos	X
pt_ll_3205	Settai Ä“ Saettai - Setos	648784
pt_ll_3206	Dadaleis	X
pt_ll_3207	Kadoi - Kadoi 	609420
pt_ll_3208	Sunaos - Synaos 	609537
pt_ll_5419	Dorulleion Ä“ Dorulaeion - Dorylaion	609367
pt_ll_5118	Midaion Ä“ Midaeion - Midaion	609473
pt_ll_3209	TrikÅmia - Trikomon 	707638
pt_ll_3210	Agkura Phrugias	X
pt_ll_3211	Nakoleia - Nakoleia	609484
pt_ll_3212	Tribanta - Tribanta 	614867
pt_ll_5420	Diokleia - Diokleia 	857698
pt_ll_3213	Amorion - Amorion	609302
pt_ll_3214	Abrostola - Abrostola	614576
pt_ll_3215	Kotuaeion - Kotiaeion	609444
pt_ll_3216	Azanoi Ä“ Aizanis - Aizanoi	609292
pt_ll_3217	Konna - Konna	614635
pt_ll_3218	Lusias - Lusias 	456088
pt_ll_3219	KerkÅpia - Kerkaphos M. 	X
pt_ll_5421	Eukarpia - Eukarpia 	609378
pt_ll_3220	PrumnÄ“sia - Prymnessos 	609511
pt_ll_3221	Dokimaion - Dokimeion	609366
pt_ll_3222	Sunada	X
pt_ll_3223	Gamboua Ä“ Gammaousa - Gammausa	614660
pt_ll_3224	Melitara - Melitara 	614747
pt_ll_3225	Iouliopolis	X
