Ptolemy ID	City	Pleiades ID
pt_ll_278	Balsa	256013
pt_ll_279	 Ossonoba	256345
pt_ll_280	 Hieron akrÅtÄ“rion	226620
pt_ll_282	Salakeia	256414
pt_ll_283	Kaitobrix	xxx
pt_ll_285	 OliosipÅn	256338
pt_ll_293	 Pax Ioulia	256358
pt_ll_294	Ioulia Murtilis	256234
pt_ll_295	Lakkobriga	256246
pt_ll_296	Kapiana	260571
pt_ll_297	Braitolaion	260507
pt_ll_298	Mirobriga	236546
pt_ll_299	Arkobriga	xxx
pt_ll_300	Meribriga	260603
pt_ll_301	Katraleukos	260575
pt_ll_302	Purgoi Leukoi	xxx
pt_ll_303	Arandis	255980
pt_ll_304	Lauare	240948
pt_ll_305	Arition	xxx
pt_ll_306	Selion	xxx
pt_ll_307	Elbokoris	xxx
pt_ll_308	Aradoukta	240863
pt_ll_309	Ouerourion	240982
pt_ll_310	Ouelladis	240980
pt_ll_311	Aiminion	xxx
pt_ll_312	KhrÄ“tina	xxx
pt_ll_313	Arabriga	240862
pt_ll_314	Skalabis kolÅnia	xxx
pt_ll_315	Takoubis	xxx
