PtolemyID,Label,PleiadesId
pt_ll_3146,Πύῤῥα  (Purrha ),
pt_ll_5407,Ἡράκλεια πρὸς Λάτμῳ  (Hērakleia pros Latmō ),
pt_ll_3147,Μίλητος  (Milētos ),
pt_ll_3148,Ἰασσός  (Iassos ),
pt_ll_3149,Βαργυλία  (Bargulia ),
pt_ll_3150,Μύνδος  (Mundos ),
pt_ll_3151,Σκοπιὰ ἄκρα  (Skopia akra ),
pt_ll_3152,Ἁλικαρνασσός  (Halikarnassos ),
pt_ll_3153,Κέραμος  (Keramos ),
pt_ll_3154,Κνίδος πόλις καὶ ἄκρον  (Knidos polis kai akron ),
pt_ll_3155, Ὄνου γνάθος ἄκρα  ( Onou gnathos akra ),
pt_ll_5742,Λώρυμα  (Lōruma ),
pt_ll_3156,Κρήσσω λιμήν  (Krēssō limēn ),
pt_ll_3157,Φοίνιξ χωρίον  (Phoinix khōrion ),
pt_ll_3158,Φοῦσκα  (Phouska ),
pt_ll_3160,Καῦνος  (Kaunos ),
pt_ll_3171,Σκῆψις (Skēpsis),
pt_ll_5744,Ἱερὰ Γέρμη  (Hiera Germē ),
pt_ll_3172,Ἴλιον  (Ilion ),
pt_ll_3173,Λάγουτα  (Lagouta ),
pt_ll_5117,Τραϊανόπολις  (Traianopolis ),
pt_ll_3174,Ἄλυδδα  (Aludda ),
pt_ll_5739,Πρεπενισσός (Prepenissos),
pt_ll_3175,Πέργαμος  (Pergamos ),
pt_ll_5410,Περπέρη ἢ Περμέρη (Perperē ē Permerē),
pt_ll_3176,Μοστηνοί  (Mostēnoi ),
pt_ll_3177,Ἱεροκαισάρεια  (Hierokaisareia ),
pt_ll_3178,Νάκρασα  (Nakrasa ),
pt_ll_3179,Θυάτειρα μητρόπολις  (Thuateira mētropolis ),
